org.bukkit.event.block.BlockBreakEvent,blockbreakevent
org.bukkit.event.inventory.InventoryDragEvent,inventorydragevent
org.bukkit.event.inventory.InventoryInteractEvent,inventoryinteractevent
org.bukkit.event.inventory.InventoryMoveItemEvent,inventorymoveitemevent
org.bukkit.event.inventory.InventoryOpenEvent,inventoryopenevent
org.bukkit.event.inventory.InventoryPickupItemEvent,inventorypickupitemevent
org.bukkit.event.inventory.PrepareItemCraftEvent,prepareitemcraftevent
org.bukkit.event.painting.PaintingBreakByEntityEvent,paintingbreakbyentityevent
org.bukkit.event.painting.PaintingBreakEvent,paintingbreakevent
org.bukkit.event.painting.PaintingPlaceEvent,paintingplaceevent
org.bukkit.event.player.AsyncPlayerChatEvent,asyncplayerchatevent
org.bukkit.event.player.AsyncPlayerPreLoginEvent,asyncplayerpreloginevent
org.bukkit.event.player.PlayerAchievementAwardedEvent,playerachievementawardedevent
org.bukkit.event.player.PlayerAnimationEvent,playeranimationevent
org.bukkit.event.player.PlayerArmorStandManipulateEvent,playerarmorstandmanipulateevent
org.bukkit.event.player.PlayerBedEnterEvent,playerbedenterevent
org.bukkit.event.player.PlayerBedLeaveEvent,playerbedleaveevent
org.bukkit.event.player.PlayerBucketEmptyEvent,playerbucketemptyevent
org.bukkit.event.player.PlayerBucketFillEvent,playerbucketfillevent
org.bukkit.event.player.PlayerChatEvent,playerchatevent
org.bukkit.event.player.PlayerChatTabCompleteEvent,playerchattabcompleteevent
org.bukkit.event.player.PlayerCommandPreprocessEvent,playercommandpreprocessevent
org.bukkit.event.player.PlayerDropItemEvent,playerdropitemevent
org.bukkit.event.player.PlayerEditBookEvent,playereditbookevent
org.bukkit.event.player.PlayerEggThrowEvent,playereggthrowevent
org.bukkit.event.player.PlayerExpChangeEvent,playerexpchangeevent
org.bukkit.event.player.PlayerFishEvent,playerfishevent
org.bukkit.event.player.PlayerGameModeChangeEvent,playergamemodechangeevent
org.bukkit.event.player.PlayerInteractAtEntityEvent,playerinteractatentityevent
org.bukkit.event.player.PlayerInteractEntityEvent,playerinteractentityevent
org.bukkit.event.player.PlayerInteractEvent,playerinteractevent
org.bukkit.event.player.PlayerItemBreakEvent,playeritembreakevent
org.bukkit.event.player.PlayerItemConsumeEvent,playeritemconsumeevent
org.bukkit.event.player.PlayerItemDamageEvent,playeritemdamageevent
org.bukkit.event.player.PlayerItemHeldEvent,playeritemheldevent
org.bukkit.event.player.PlayerJoinEvent,playerjoinevent
org.bukkit.event.player.PlayerKickEvent,playerkickevent
org.bukkit.event.player.PlayerLevelChangeEvent,playerlevelchangeevent
org.bukkit.event.player.PlayerLoginEvent,playerloginevent
org.bukkit.event.player.PlayerMoveEvent,playermoveevent
org.bukkit.event.player.PlayerPickupItemEvent,playerpickupitemevent
org.bukkit.event.player.PlayerPortalEvent,playerportalevent
org.bukkit.event.player.PlayerPreLoginEvent,playerpreloginevent
org.bukkit.event.player.PlayerQuitEvent,playerquitevent
org.bukkit.event.player.PlayerResourcePackStatusEvent,playerresourcepackstatusevent
org.bukkit.event.player.PlayerRespawnEvent,playerrespawnevent
org.bukkit.event.player.PlayerShearEntityEvent,playershearentityevent
org.bukkit.event.player.PlayerStatisticIncrementEvent,playerstatisticincrementevent
org.bukkit.event.player.PlayerTeleportEvent,playerteleportevent
org.bukkit.event.player.PlayerToggleFlightEvent,playertoggleflightevent
org.bukkit.event.player.PlayerToggleSneakEvent,playertogglesneakevent
org.bukkit.event.player.PlayerToggleSprintEvent,playertogglesprintevent
org.bukkit.event.player.PlayerVelocityEvent,playervelocityevent
org.bukkit.event.server.MapInitializeEvent,mapinitializeevent
org.bukkit.event.server.PluginDisableEvent,plugindisableevent
org.bukkit.event.server.PluginEnableEvent,pluginenableevent
org.bukkit.event.server.RemoteServerCommandEvent,remoteservercommandevent
org.bukkit.event.server.ServerCommandEvent,servercommandevent
org.bukkit.event.server.ServerListPingEvent,serverlistpingevent
org.bukkit.event.server.ServiceRegisterEvent,serviceregisterevent
org.bukkit.event.server.ServiceUnregisterEvent,serviceunregisterevent
org.bukkit.event.vehicle.VehicleBlockCollisionEvent,vehicleblockcollisionevent
org.bukkit.event.vehicle.VehicleCreateEvent,vehiclecreateevent
org.bukkit.event.vehicle.VehicleDamageEvent,vehicledamageevent
org.bukkit.event.vehicle.VehicleDestroyEvent,vehicledestroyevent
org.bukkit.event.vehicle.VehicleEnterEvent,vehicleenterevent
org.bukkit.event.vehicle.VehicleEntityCollisionEvent,vehicleentitycollisionevent
org.bukkit.event.vehicle.VehicleExitEvent,vehicleexitevent
org.bukkit.event.vehicle.VehicleMoveEvent,vehiclemoveevent
org.bukkit.event.vehicle.VehicleUpdateEvent,vehicleupdateevent
org.bukkit.event.weather.LightningStrikeEvent,lightningstrikeevent
org.bukkit.event.weather.ThunderChangeEvent,thunderchangeevent
org.bukkit.event.weather.WeatherChangeEvent,weatherchangeevent
org.bukkit.event.world.ChunkLoadEvent,chunkloadevent
org.bukkit.event.world.ChunkPopulateEvent,chunkpopulateevent
org.bukkit.event.world.ChunkUnloadEvent,chunkunloadevent
org.bukkit.event.world.PortalCreateEvent,portalcreateevent
org.bukkit.event.world.SpawnChangeEvent,spawnchangeevent
org.bukkit.event.world.StructureGrowEvent,structuregrowevent
org.bukkit.event.world.WorldInitEvent,worldinitevent
org.bukkit.event.world.WorldLoadEvent,worldloadevent
org.bukkit.event.world.WorldSaveEvent,worldsaveevent
org.bukkit.event.world.WorldUnloadEvent,worldunloadevent
org.spigotmc.event.entity.EntityDismountEvent,entitydismountevent
org.spigotmc.event.entity.EntityMountEvent,entitymountevent
org.spigotmc.event.player.PlayerSpawnLocationEvent,playerspawnlocationevent
com.destroystokyo.paper.event.player.PlayerJumpEvent,playerjumpevent
